1.12.2 Class,1.12.2 Method,1.21.x Class,1.21.x Method,Status,Original Signature,Notes
io.github.opencubicchunks.cubicchunks.api.util.Bits,,io.github.opencubicchunks.cubicchunks.api.util.Bits,,Ported (built),class Bits,No game dependencies; 1:1 port
io.github.opencubicchunks.cubicchunks.api.util.Box,,io.github.opencubicchunks.cubicchunks.api.util.Box,,Ported (built),class Box,No game dependencies; 1:1 port
io.github.opencubicchunks.cubicchunks.api.util.MathUtil,,io.github.opencubicchunks.cubicchunks.api.util.MathUtil,,Ported (built),class MathUtil,Constructor made private/final for utility class; MathHelper.func_76125_a -> Mth.clamp
io.github.opencubicchunks.cubicchunks.api.util.XYZMap,,io.github.opencubicchunks.cubicchunks.api.util.XYZMap,,Ported (built),class XYZMap,log4j -> slf4j; randomWrappedIterator omitted due to broken decompilation
io.github.opencubicchunks.cubicchunks.api.util.XZMap,,io.github.opencubicchunks.cubicchunks.api.util.XZMap,,Ported (built),class XZMap,No game dependencies; 1:1 port
io.github.opencubicchunks.cubicchunks.core.util.AddressTools,,io.github.opencubicchunks.cubicchunks.api.util.AddressTools,,Ported (built),class AddressTools,Moved from core.util to api.util; BlockPos getters updated
io.github.opencubicchunks.cubicchunks.api.worldgen.populator.ICubicPopulator,,io.github.opencubicchunks.cubicchunks.api.worldgen.populator.ICubicPopulator,,Ported (built),interface ICubicPopulator,World -> Level; Biome raw type
io.github.opencubicchunks.cubicchunks.api.worldgen.LoadingData,,io.github.opencubicchunks.cubicchunks.api.worldgen.LoadingData,,Ported (built),class LoadingData,NBTTagCompound -> CompoundTag
io.github.opencubicchunks.cubicchunks.api.worldgen.CubePrimer,,io.github.opencubicchunks.cubicchunks.api.worldgen.CubePrimer,,Ported (built),class CubePrimer,IBlockState -> BlockState; Block.BLOCK_STATE_REGISTRY
io.github.opencubicchunks.cubicchunks.api.worldgen.ICubeGenerator,,io.github.opencubicchunks.cubicchunks.api.worldgen.ICubeGenerator,,Ported (built),interface ICubeGenerator,World -> Level; Chunk -> ChunkAccess; EnumCreatureType -> MobCategory
io.github.opencubicchunks.cubicchunks.api.worldgen.CubeGeneratorsRegistry,,io.github.opencubicchunks.cubicchunks.api.worldgen.CubeGeneratorsRegistry,,Ported (built),class CubeGeneratorsRegistry,World -> Level; ChunkPos updated
io.github.opencubicchunks.cubicchunks.core.world.cube.Cube,,io.github.opencubicchunks.cubicchunks.core.world.cube.Cube,,Ported (built),class Cube,ExtendedBlockStorage -> LevelChunkSection; removed Forge capabilities; entities use Set<Entity>
io.github.opencubicchunks.cubicchunks.core.world.column.CubeMap,,io.github.opencubicchunks.cubicchunks.core.world.column.CubeMap,,Ported (built),class CubeMap,Storage tick array uses LevelChunkSection
io.github.opencubicchunks.cubicchunks.core.world.EntityContainer,,io.github.opencubicchunks.cubicchunks.core.world.EntityContainer,,Ported (built),class EntityContainer,ClassInheritanceMultiMap -> Set<Entity>; NBT via CompoundTag
io.github.opencubicchunks.cubicchunks.core.world.BlankEntityContainer,,io.github.opencubicchunks.cubicchunks.core.world.BlankEntityContainer,,Ported (built),class BlankEntityContainer,No-op entity container
io.github.opencubicchunks.cubicchunks.core.world.column.ColumnTileEntityMap,,io.github.opencubicchunks.cubicchunks.core.world.column.ColumnTileEntityMap,,Ported (built),class ColumnTileEntityMap,TileEntity -> BlockEntity
